0	1.5	0.5	1	1	1	1	1	1	1	1
0.1	1.48571	0.52	0.913793	0.923529	0.923529	0.995	0.995	0.995	0.98	1.01429
0.2	1.47231	0.538308	0.836895	0.854714	0.855103	0.989825	0.989851	0.989851	0.962831	1.02655
0.3	1.4597	0.555108	0.768314	0.792792	0.793885	0.984483	0.984561	0.98456	0.948141	1.03705
0.4	1.4478	0.570566	0.707167	0.73708	0.739123	0.978983	0.979138	0.979134	0.935616	1.04602
0.5	1.43654	0.584826	0.652663	0.686965	0.690148	0.973335	0.973589	0.973581	0.924981	1.05365
0.6	1.42586	0.598017	0.604098	0.641896	0.646358	0.967551	0.967926	0.967909	0.915995	1.06013
0.7	1.41571	0.610255	0.560843	0.601376	0.607214	0.961641	0.962156	0.962129	0.908445	1.06559
0.8	1.40603	0.62164	0.522335	0.564957	0.572233	0.955618	0.95629	0.95625	0.902144	1.07019
0.9	1.39679	0.632261	0.488072	0.532239	0.540983	0.949493	0.950337	0.950281	0.89693	1.07402
1	1.38795	0.642197	0.457605	0.502859	0.513077	0.943278	0.944307	0.944232	0.892658	1.07719
1.1	1.37949	0.651517	0.430532	0.476488	0.488167	0.936985	0.93821	0.938113	0.889205	1.07979
1.2	1.37136	0.660283	0.406495	0.452834	0.465941	0.930625	0.932055	0.931933	0.886462	1.0819
1.3	1.36355	0.668548	0.385171	0.431628	0.446121	0.924208	0.925851	0.925703	0.884334	1.08357
1.4	1.35603	0.67636	0.366275	0.412632	0.428456	0.917747	0.919608	0.919431	0.882737	1.08487
1.5	1.34878	0.683761	0.349549	0.395628	0.412722	0.91125	0.913333	0.913125	0.8816	1.08586
1.6	1.34179	0.690789	0.334763	0.380421	0.398718	0.904728	0.907034	0.906794	0.880859	1.08656
1.7	1.33504	0.697475	0.321711	0.366833	0.386263	0.898189	0.90072	0.900446	0.88046	1.08702
1.8	1.32852	0.703851	0.31021	0.354706	0.375195	0.891641	0.894396	0.894088	0.880354	1.08728
1.9	1.3222	0.709941	0.300094	0.343895	0.36537	0.885092	0.888071	0.887726	0.880501	1.08736
2	1.31609	0.715769	0.291216	0.33427	0.356657	0.878549	0.881749	0.881368	0.880863	1.08728
2.1	1.31016	0.721354	0.283444	0.325713	0.34894	0.872019	0.875437	0.875018	0.881409	1.08708
2.2	1.30442	0.726717	0.276659	0.318118	0.342114	0.865508	0.869139	0.868683	0.882112	1.08676
2.3	1.29884	0.731872	0.270756	0.31139	0.336086	0.85902	0.862861	0.862366	0.882948	1.08634
2.4	1.29343	0.736835	0.26564	0.305442	0.330771	0.85256	0.856607	0.856073	0.883895	1.08584
2.5	1.28817	0.741619	0.261225	0.300196	0.326095	0.846133	0.850381	0.849807	0.884936	1.08528
2.6	1.28306	0.746236	0.257436	0.29558	0.321988	0.839743	0.844186	0.843573	0.886055	1.08465
2.7	1.27809	0.750697	0.254205	0.291533	0.318391	0.833393	0.838026	0.837373	0.887238	1.08398
2.8	1.27325	0.75501	0.25147	0.287995	0.31525	0.827086	0.831903	0.831211	0.888473	1.08326
2.9	1.26855	0.759186	0.249178	0.284916	0.312516	0.820824	0.825819	0.825088	0.889751	1.08252
3	1.26397	0.763232	0.24728	0.282248	0.310145	0.814611	0.819779	0.819008	0.891061	1.08174
3.1	1.25951	0.767155	0.24573	0.27995	0.308097	0.808447	0.813782	0.812972	0.892396	1.08094
3.2	1.25516	0.770962	0.244492	0.277983	0.306339	0.802336	0.807831	0.806983	0.893749	1.08013
3.3	1.25093	0.774659	0.243529	0.276312	0.304838	0.796277	0.801928	0.801041	0.895115	1.0793
3.4	1.2468	0.778252	0.24281	0.274908	0.303566	0.790272	0.796074	0.795148	0.896488	1.07846
3.5	1.24277	0.781745	0.242307	0.273741	0.302498	0.784323	0.79027	0.789306	0.897864	1.07762
3.6	1.23885	0.785144	0.241995	0.272788	0.301611	0.778431	0.784516	0.783514	0.899239	1.07677
3.7	1.23502	0.788453	0.241852	0.272024	0.300886	0.772595	0.778814	0.777775	0.900611	1.07592
3.8	1.23128	0.791675	0.241857	0.271431	0.300304	0.766816	0.773164	0.772088	0.901975	1.07507
3.9	1.22763	0.794815	0.241993	0.270988	0.299848	0.761096	0.767568	0.766455	0.903331	1.07422
4	1.22407	0.797876	0.242243	0.270681	0.299505	0.755433	0.762024	0.760875	0.904675	1.07338
4.1	1.22059	0.800861	0.242594	0.270493	0.29926	0.749829	0.756534	0.755349	0.906007	1.07254
4.2	1.2172	0.803774	0.243032	0.270412	0.299104	0.744283	0.751098	0.749878	0.907324	1.07171
4.3	1.21388	0.806617	0.243546	0.270425	0.299024	0.738795	0.745715	0.74446	0.908626	1.07088
4.4	1.21064	0.809392	0.244126	0.270521	0.299013	0.733366	0.740387	0.739097	0.909911	1.07006
4.5	1.20747	0.812103	0.244763	0.270691	0.29906	0.727994	0.735112	0.733789	0.911179	1.06925
4.6	1.20438	0.814752	0.245449	0.270926	0.299161	0.722681	0.729891	0.728535	0.912429	1.06844
4.7	1.20135	0.81734	0.246176	0.271218	0.299306	0.717425	0.724724	0.723335	0.913661	1.06765
4.8	1.19839	0.81987	0.246938	0.27156	0.299491	0.712226	0.71961	0.718189	0.914874	1.06686
4.9	1.1955	0.822345	0.24773	0.271946	0.29971	0.707084	0.71455	0.713097	0.916068	1.06609
5	1.19267	0.824765	0.248545	0.272369	0.299959	0.701999	0.709542	0.708058	0.917242	1.06532
5.1	1.1899	0.827132	0.249381	0.272825	0.300233	0.696969	0.704588	0.703073	0.918398	1.06457
