8.2	2.11963	0.58518	0.175554	0.119633	9.88811e-44	1
8.3	2.11963	0.58518	0.175554	0.119633	2.33934e-44	1
8.4	2.11963	0.58518	0.175554	0.119633	5.53444e-45	1
8.5	2.11963	0.58518	0.175554	0.119633	1.30935e-45	1
8.6	2.11963	0.58518	0.175554	0.119633	3.09767e-46	1
8.7	2.11963	0.58518	0.175554	0.119633	7.3285e-47	1
8.8	2.11963	0.58518	0.175554	0.119633	1.73378e-47	1
8.9	2.11963	0.58518	0.175554	0.119633	4.10181e-48	1
9	2.11963	0.58518	0.175554	0.119633	9.70411e-49	1
9.1	2.11963	0.58518	0.175554	0.119633	2.29581e-49	1
9.2	2.11963	0.58518	0.175554	0.119633	5.43146e-50	1
9.3	2.11963	0.58518	0.175554	0.119633	1.28498e-50	1
9.4	2.11963	0.58518	0.175554	0.119633	3.04002e-51	1
9.5	2.11963	0.58518	0.175554	0.119633	7.19212e-52	1
9.6	2.11963	0.58518	0.175554	0.119633	1.70152e-52	1
9.7	2.11963	0.58518	0.175554	0.119633	4.02548e-53	1
9.8	2.11963	0.58518	0.175554	0.119633	9.52353e-54	1
9.9	2.11963	0.58518	0.175554	0.119633	2.25309e-54	1
10	2.11963	0.58518	0.175554	0.119633	5.33039e-55	1
10.1	2.11963	0.58518	0.175554	0.119633	1.26107e-55	1
