0	2	0	0	0	1	0
0.1	1.915	0.085	0	0	0.915	0.085
0.2	1.83434	0.124025	0.0416321	0	0.834343	0.165657
0.3	1.75806	0.206012	0.0344984	0.00142628	0.756637	0.243363
0.4	1.68624	0.242144	0.0691968	0.00242265	0.683814	0.316186
0.5	1.61886	0.3057	0.069374	0.00606922	0.612788	0.387212
0.6	1.55604	0.344095	0.0901555	0.00970976	0.54633	0.45367
0.7	1.49778	0.389278	0.0973899	0.0155539	0.482225	0.517775
0.8	1.44417	0.424157	0.109458	0.0222149	0.421955	0.578045
0.9	1.39523	0.456733	0.117693	0.0303407	0.364893	0.635107
1	1.35102	0.483755	0.125762	0.0394599	0.311564	0.688436
1.1	1.31156	0.506527	0.13238	0.0495372	0.262018	0.737982
1.2	1.27683	0.524788	0.138058	0.0603255	0.216503	0.783497
1.3	1.24681	0.538846	0.142736	0.0716128	0.175192	0.824808
1.4	1.2214	0.548923	0.146538	0.083142	0.138255	0.861745
1.5	1.20045	0.555356	0.149559	0.0946307	0.105823	0.894177
1.6	1.18375	0.558562	0.151931	0.10576	0.0779865	0.922014
1.7	1.17095	0.559062	0.153812	0.116171	0.0547825	0.945217
1.8	1.16166	0.55749	0.155388	0.125467	0.0361887	0.963811
1.9	1.15533	0.554583	0.156847	0.133238	0.0220937	0.977906
2	1.15138	0.551146	0.158321	0.139152	0.0122286	0.987771
2.1	1.14916	0.547945	0.159793	0.143106	0.00605116	0.993949
2.2	1.14804	0.545524	0.161073	0.145359	0.00268516	0.997315
2.3	1.14755	0.544038	0.161962	0.146452	0.00109517	0.998905
2.4	1.14734	0.543285	0.162451	0.14692	0.000424556	0.999575
2.5	1.14727	0.542956	0.162674	0.147105	0.000160553	0.999839
2.6	1.14724	0.542823	0.162766	0.147175	6.0079e-05	0.99994
2.7	1.14722	0.542773	0.162801	0.147202	2.23884e-05	0.999978
2.8	1.14722	0.542753	0.162815	0.147212	8.32985e-06	0.999992
2.9	1.14722	0.542746	0.16282	0.147215	3.09737e-06	0.999997
3	1.14722	0.542744	0.162822	0.147217	1.15147e-06	0.999999
